Vivado Simulator 2018.3
Time resolution is 1 ps

=== INPUT DATA ===
x[0] = 0  0
x[1] = 802  0
x[2] = 1598  0
x[3] = 2378  0
x[4] = 3134  0
x[5] = 3861  0
x[6] = 4551  0
x[7] = 5196  0
x[8] = 5792  0
x[9] = 6332  0
x[10] = 6811  0
x[11] = 7224  0
x[12] = 7568  0
x[13] = 7839  0
x[14] = 8034  0
x[15] = 8152  0
x[16] = 8192  0
x[17] = 8152  0
x[18] = 8034  0
x[19] = 7839  0
x[20] = 7568  0
x[21] = 7224  0
x[22] = 6811  0
x[23] = 6332  0
x[24] = 5792  0
x[25] = 5196  0
x[26] = 4551  0
x[27] = 3861  0
x[28] = 3134  0
x[29] = 2378  0
x[30] = 1598  0
x[31] = 802  0
x[32] = 0  0
x[33] = -802  0
x[34] = -1598  0
x[35] = -2378  0
x[36] = -3134  0
x[37] = -3861  0
x[38] = -4551  0
x[39] = -5196  0
x[40] = -5792  0
x[41] = -6332  0
x[42] = -6811  0
x[43] = -7224  0
x[44] = -7568  0
x[45] = -7839  0
x[46] = -8034  0
x[47] = -8152  0
x[48] = -8192  0
x[49] = -8152  0
x[50] = -8034  0
x[51] = -7839  0
x[52] = -7568  0
x[53] = -7224  0
x[54] = -6811  0
x[55] = -6332  0
x[56] = -5792  0
x[57] = -5196  0
x[58] = -4551  0
x[59] = -3861  0
x[60] = -3134  0
x[61] = -2378  0
x[62] = -1598  0
x[63] = -802  0

=== OUTPUT FFT DATA ===
X[0] = 0  0
X[1] = -2  -4097
X[2] = 0  0
X[3] = -2  0
X[4] = 0  0
X[5] = 0  0
X[6] = 0  0
X[7] = -1  -1
X[8] = 0  0
X[9] = 0  0
X[10] = 0  0
X[11] = 0  0
X[12] = 0  0
X[13] = 0  0
X[14] = 0  0
X[15] = -1  0
X[16] = 0  0
X[17] = 0  0
X[18] = 0  0
X[19] = 0  -1
X[20] = 0  0
X[21] = 0  0
X[22] = 0  0
X[23] = 0  0
X[24] = 0  0
X[25] = 0  0
X[26] = 0  0
X[27] = 0  0
X[28] = 0  0
X[29] = 0  0
X[30] = 0  0
X[31] = 0  0
X[32] = 0  0
X[33] = 0  0
X[34] = 0  0
X[35] = -1  0
X[36] = 0  0
X[37] = 0  0
X[38] = 0  0
X[39] = 1  0
X[40] = 0  0
X[41] = 0  0
X[42] = 0  0
X[43] = 0  0
X[44] = 0  0
X[45] = 0  0
X[46] = 0  0
X[47] = 0  0
X[48] = 0  0
X[49] = 0  0
X[50] = 0  0
X[51] = 0  -1
X[52] = 0  0
X[53] = 0  0
X[54] = 0  0
X[55] = 0  0
X[56] = 0  0
X[57] = 0  0
X[58] = 0  0
X[59] = 0  0
X[60] = 0  0
X[61] = 0  0
X[62] = 0  0
X[63] = 0  4096

Output written to output_vivado.txt
$finish called at time : 265 ns : File "C:/Users/Happend Outerwall/NJUlocal/fft64_sim/sim/tb_fft64.sv" Line 216
